Vardas         Pavarde        Galutinis (Vid.)    
Vardas837      Pavarde837     7.22
Vardas838      Pavarde838     3.07
Vardas839      Pavarde839     3.18
Vardas84       Pavarde84      5.87
Vardas840      Pavarde840     4.67
Vardas841      Pavarde841     3.88
Vardas842      Pavarde842     8.03
Vardas843      Pavarde843     3.02
Vardas844      Pavarde844     8.74
Vardas845      Pavarde845     7.97
Vardas846      Pavarde846     3.26
Vardas847      Pavarde847     5.48
Vardas848      Pavarde848     5.19
Vardas849      Pavarde849     5.03
Vardas85       Pavarde85      2.73
Vardas850      Pavarde850     6.93
Vardas851      Pavarde851     6.45
Vardas852      Pavarde852     3.72
Vardas853      Pavarde853     6.60
Vardas854      Pavarde854     6.69
Vardas855      Pavarde855     7.76
Vardas856      Pavarde856     3.82
Vardas857      Pavarde857     6.51
Vardas858      Pavarde858     5.54
Vardas859      Pavarde859     2.96
Vardas86       Pavarde86      5.44
Vardas860      Pavarde860     7.44
Vardas861      Pavarde861     8.34
Vardas862      Pavarde862     7.83
Vardas863      Pavarde863     3.75
Vardas864      Pavarde864     7.35
Vardas865      Pavarde865     7.18
Vardas866      Pavarde866     3.64
Vardas867      Pavarde867     2.89
Vardas868      Pavarde868     5.00
Vardas869      Pavarde869     5.34
Vardas87       Pavarde87      5.47
Vardas870      Pavarde870     4.07
Vardas871      Pavarde871     4.01
Vardas872      Pavarde872     5.59
Vardas873      Pavarde873     5.53
Vardas874      Pavarde874     5.44
Vardas875      Pavarde875     5.06
Vardas876      Pavarde876     3.86
Vardas877      Pavarde877     5.51
Vardas878      Pavarde878     4.80
Vardas879      Pavarde879     5.68
Vardas88       Pavarde88      7.07
Vardas880      Pavarde880     3.33
Vardas881      Pavarde881     8.36
Vardas882      Pavarde882     7.25
Vardas883      Pavarde883     8.06
Vardas884      Pavarde884     4.98
Vardas885      Pavarde885     7.29
Vardas886      Pavarde886     4.71
Vardas887      Pavarde887     5.69
Vardas888      Pavarde888     5.64
Vardas889      Pavarde889     8.40
Vardas89       Pavarde89      7.94
Vardas890      Pavarde890     7.00
Vardas891      Pavarde891     6.16
Vardas892      Pavarde892     6.84
Vardas893      Pavarde893     5.58
Vardas894      Pavarde894     3.83
Vardas895      Pavarde895     5.73
Vardas896      Pavarde896     5.17
Vardas897      Pavarde897     7.76
Vardas898      Pavarde898     4.09
Vardas899      Pavarde899     8.01
Vardas9        Pavarde9       2.93
Vardas90       Pavarde90      3.72
Vardas900      Pavarde900     3.22
Vardas901      Pavarde901     6.49
Vardas902      Pavarde902     2.56
Vardas903      Pavarde903     3.56
Vardas904      Pavarde904     7.55
Vardas905      Pavarde905     4.39
Vardas906      Pavarde906     4.65
Vardas907      Pavarde907     5.55
Vardas908      Pavarde908     5.96
Vardas909      Pavarde909     7.57
Vardas91       Pavarde91      4.26
Vardas910      Pavarde910     4.20
Vardas911      Pavarde911     7.40
Vardas912      Pavarde912     4.65
Vardas913      Pavarde913     4.07
Vardas914      Pavarde914     3.49
Vardas915      Pavarde915     7.51
Vardas916      Pavarde916     5.58
Vardas917      Pavarde917     3.81
Vardas918      Pavarde918     3.73
Vardas919      Pavarde919     8.32
Vardas92       Pavarde92      5.13
Vardas920      Pavarde920     6.26
Vardas921      Pavarde921     4.94
Vardas922      Pavarde922     6.80
Vardas923      Pavarde923     8.38
Vardas924      Pavarde924     7.36
Vardas925      Pavarde925     5.32
Vardas926      Pavarde926     3.97
Vardas927      Pavarde927     6.11
Vardas928      Pavarde928     7.03
Vardas929      Pavarde929     6.09
Vardas93       Pavarde93      5.83
Vardas930      Pavarde930     3.52
Vardas931      Pavarde931     6.18
Vardas932      Pavarde932     3.87
Vardas933      Pavarde933     3.56
Vardas934      Pavarde934     5.81
Vardas935      Pavarde935     5.29
Vardas936      Pavarde936     3.74
Vardas937      Pavarde937     7.23
Vardas938      Pavarde938     8.21
Vardas939      Pavarde939     3.02
Vardas94       Pavarde94      6.60
Vardas940      Pavarde940     3.35
Vardas941      Pavarde941     6.47
Vardas942      Pavarde942     2.68
Vardas943      Pavarde943     7.53
Vardas944      Pavarde944     3.84
Vardas945      Pavarde945     3.35
Vardas946      Pavarde946     7.94
Vardas947      Pavarde947     6.16
Vardas948      Pavarde948     5.32
Vardas949      Pavarde949     3.33
Vardas95       Pavarde95      8.23
Vardas950      Pavarde950     6.99
Vardas951      Pavarde951     6.19
Vardas952      Pavarde952     2.85
Vardas953      Pavarde953     8.06
Vardas954      Pavarde954     7.31
Vardas955      Pavarde955     5.92
Vardas956      Pavarde956     6.22
Vardas957      Pavarde957     4.86
Vardas958      Pavarde958     6.56
Vardas959      Pavarde959     4.98
Vardas96       Pavarde96      5.66
Vardas960      Pavarde960     5.32
Vardas961      Pavarde961     4.42
Vardas962      Pavarde962     4.26
Vardas963      Pavarde963     6.47
Vardas964      Pavarde964     6.49
Vardas965      Pavarde965     8.38
Vardas966      Pavarde966     5.78
Vardas967      Pavarde967     8.53
Vardas968      Pavarde968     4.64
Vardas969      Pavarde969     3.49
Vardas97       Pavarde97      3.29
Vardas970      Pavarde970     2.99
Vardas971      Pavarde971     5.81
Vardas972      Pavarde972     6.68
Vardas973      Pavarde973     3.31
Vardas974      Pavarde974     6.26
Vardas975      Pavarde975     6.57
Vardas976      Pavarde976     7.03
Vardas977      Pavarde977     4.31
Vardas978      Pavarde978     8.02
Vardas979      Pavarde979     4.91
Vardas98       Pavarde98      5.25
Vardas980      Pavarde980     7.61
Vardas981      Pavarde981     3.44
Vardas982      Pavarde982     7.84
Vardas983      Pavarde983     6.20
Vardas984      Pavarde984     4.47
Vardas985      Pavarde985     6.28
Vardas986      Pavarde986     5.16
Vardas987      Pavarde987     7.07
Vardas988      Pavarde988     3.24
Vardas989      Pavarde989     5.53
Vardas99       Pavarde99      3.58
Vardas990      Pavarde990     3.14
Vardas991      Pavarde991     3.26
Vardas992      Pavarde992     4.01
Vardas993      Pavarde993     2.09
Vardas994      Pavarde994     6.06
Vardas995      Pavarde995     6.69
Vardas996      Pavarde996     6.12
Vardas997      Pavarde997     6.54
Vardas998      Pavarde998     6.29
Vardas999      Pavarde999     4.96
